image_id,camera_intrinsics,rotation_matrix,translation_vector
38521663_2805168218,9.37816040e+02 0.00000000e+00 5.24500000e+02 0.00000000e+00 9.37816040e+02 2.85000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.94942724e-01 1.09921152e-02 -9.98406184e-02 -1.46902179e-02 9.99230024e-01 -3.63807227e-02 9.93638424e-02 3.76634158e-02 9.94338119e-01,3.02136710e-02 4.60335159e-01 2.24022667e+00
76177997_2293073399,7.89452332e+02 0.00000000e+00 5.32000000e+02 0.00000000e+00 7.89452332e+02 3.45500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,8.49184998e-01 4.39349712e-02 -5.26264722e-01 1.37120131e-01 9.44011108e-01 3.00068488e-01 5.09983244e-01 -3.26975146e-01 7.95615702e-01,3.65441396e+00 -1.87177020e+00 -2.20747096e+00
28048887_9705734840,9.73220764e+02 0.00000000e+00 3.78500000e+02 0.00000000e+00 9.73220764e+02 5.06500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.95465208e-01 -2.45257832e-02 -9.19103112e-02 2.38499740e-02 9.99679886e-01 -8.44424145e-03 9.20879910e-02 6.21389004e-03 9.95731485e-01,9.97120948e-02 -7.78547651e-01 -3.63559721e+00
48042301_9588980737,1.57201245e+03 0.00000000e+00 5.14000000e+02 0.00000000e+00 1.57201245e+03 3.54500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.98909971e-01 2.95662090e-02 -3.61207693e-02 -3.52235951e-02 9.85214833e-01 -1.67663448e-01 3.06295452e-02 1.68752993e-01 9.85182348e-01,-2.99884072e-02 4.89666524e-01 8.52235020e+00
23128078_9800439215,8.25811523e+02 0.00000000e+00 5.01500000e+02 0.00000000e+00 8.25811523e+02 3.76000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.99342253e-01 2.34426347e-02 2.76677598e-02 -1.86903038e-02 9.86776678e-01 -1.61004538e-01 -3.10762707e-02 1.60381519e-01 9.86565778e-01,-6.55801154e-01 -5.10699777e-02 -8.81406321e-01
21698021_9050852958,8.37429504e+02 0.00000000e+00 5.28500000e+02 0.00000000e+00 8.37429504e+02 2.83000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.95061155e-01 -7.00459617e-03 -9.90163322e-02 -1.21267427e-02 9.81457215e-01 -1.91297351e-01 9.85202543e-02 1.91553309e-01 9.76525007e-01,4.63463447e-01 8.12264599e-02 3.59048505e+00
59713287_6809504619,1.02124402e+03 0.00000000e+00 5.18000000e+02 0.00000000e+00 1.02124402e+03 3.86000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.94035331e-01 1.70293245e-02 -1.07720763e-01 -2.10408270e-02 9.99122549e-01 -3.62134768e-02 1.07009552e-01 3.82640093e-02 9.93521425e-01,-1.08702763e-01 -5.47592738e-02 -4.08988876e-01
98157145_9159024129,6.41060120e+02 0.00000000e+00 2.45000000e+02 0.00000000e+00 6.41060120e+02 2.45000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.96757980e-01 2.59505919e-03 -8.04163799e-02 2.81432042e-02 9.25096781e-01 3.78687082e-01 7.53756496e-02 -3.79722546e-01 9.22024566e-01,-1.24214804e-01 -4.22131964e-01 -7.49487694e-01
82795354_2835662202,1.16166406e+03 0.00000000e+00 5.18000000e+02 0.00000000e+00 1.16166406e+03 3.42500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.35060849e-01 -7.29701067e-03 -3.54412137e-01 4.93154820e-02 9.92743745e-01 1.09671512e-01 3.51040158e-01 -1.20027542e-01 9.28635664e-01,2.04786422e+00 -8.01847364e-01 -1.97800324e+00
41378652_232724836,8.82576599e+02 0.00000000e+00 4.05000000e+02 0.00000000e+00 8.82576599e+02 2.98500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.41419974e-01 -4.20933807e-02 -3.34599133e-01 6.24762032e-03 9.94186224e-01 -1.07492881e-01 3.37178587e-01 9.91054965e-02 9.36209753e-01,1.94727185e+00 1.75598479e-01 2.12706090e+00
74554695_3147702645,8.92528625e+02 0.00000000e+00 4.64000000e+02 0.00000000e+00 8.92528625e+02 4.64000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.81746732e-01 -1.49683257e-03 -1.90187049e-01 4.74625785e-02 9.70260144e-01 2.37365870e-01 1.84175616e-01 -2.42059935e-01 9.52620769e-01,7.07374050e-01 6.21540958e-01 -4.43413582e-01
69366784_6629915323,5.40081238e+02 0.00000000e+00 5.13000000e+02 0.00000000e+00 5.40081238e+02 4.07000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.97809824e-01 4.39502141e-03 -6.60018062e-02 1.04004575e-02 9.74955891e-01 2.22154992e-01 6.53252257e-02 -2.22354883e-01 9.72774856e-01,-2.58992472e-01 -1.15664430e+00 -2.02633407e+00
