image_id,camera_intrinsics,rotation_matrix,translation_vector
83049944_6012584465,9.18426941e+02 0.00000000e+00 3.44500000e+02 0.00000000e+00 9.18426941e+02 5.23500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.96834212e-01 -7.76135288e-02 1.72538160e-02 7.83776368e-02 9.95708441e-01 -4.92102211e-02 -1.33603913e-02 5.04067453e-02 9.98639404e-01,1.72598308e+00 1.68772576e+00 4.01582014e+00
32234104_183977071,1.17611438e+03 0.00000000e+00 5.28000000e+02 0.00000000e+00 1.17611438e+03 3.90000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.71007350e-01 -1.72395723e-01 -1.65603265e-01 1.37320797e-01 9.69313660e-01 -2.03897099e-01 1.95672494e-01 1.75244809e-01 9.64884206e-01,-2.57655451e+00 -4.48477118e-01 -1.22016428e+00
26490904_3164166535,1.09905151e+03 0.00000000e+00 5.19500000e+02 0.00000000e+00 1.09905151e+03 3.86500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,-6.58528905e-01 3.08833656e-01 6.86266314e-01 -3.05842441e-02 9.00178261e-01 -4.34446433e-01 -7.51933697e-01 -3.07084470e-01 -5.83347960e-01,-4.56164923e-01 2.61198574e-01 4.15823973e+00
80637823_2178834461,1.15845215e+03 0.00000000e+00 3.86500000e+02 0.00000000e+00 1.15845215e+03 5.19500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.97449167e-01 -6.88761264e-02 1.87413620e-02 7.02125267e-02 9.94008373e-01 -8.37708570e-02 -1.28592586e-02 8.48730499e-02 9.96308790e-01,1.76548665e+00 1.51959498e+00 4.07195860e+00
69151734_8072413114,1.03405212e+03 0.00000000e+00 5.10500000e+02 0.00000000e+00 1.03405212e+03 3.38500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,-5.52722625e-01 3.59433881e-01 7.51867664e-01 5.97330848e-02 9.16973218e-01 -3.94451615e-01 -8.31221786e-01 -1.73110957e-01 -5.28301939e-01,1.24579395e+00 -1.43034982e-01 3.53445959e+00
98347882_247481604,1.11082971e+03 0.00000000e+00 5.28500000e+02 0.00000000e+00 1.11082971e+03 3.45500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,-5.78151722e-01 3.72603288e-01 7.25883859e-01 -3.17529161e-02 8.78692081e-01 -4.76331795e-01 -8.15311192e-01 -2.98440976e-01 -4.96186099e-01,9.63051134e-02 3.38660322e-01 3.44919221e+00
78756975_2797764270,1.09408057e+03 0.00000000e+00 5.30000000e+02 0.00000000e+00 1.09408057e+03 3.91000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,8.76175688e-01 -2.56626990e-01 -4.07993567e-01 1.53412006e-01 9.50934300e-01 -2.68679572e-01 4.56925508e-01 1.72819397e-01 8.72555177e-01,2.72071235e-01 9.37118168e-01 5.08765643e+00
32506932_9376290469,1.06360217e+03 0.00000000e+00 5.13500000e+02 0.00000000e+00 1.06360217e+03 4.13500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,7.05544367e-01 -3.21613168e-01 -6.31484059e-01 1.29157529e-01 9.34521498e-01 -3.31644242e-01 6.96796584e-01 1.52428806e-01 7.00885140e-01,9.42684561e-01 -9.36511140e-02 -2.40470310e-01
24041140_2435327744,1.44804858e+03 0.00000000e+00 5.14000000e+02 0.00000000e+00 1.44804858e+03 3.85000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,-2.38412680e-01 4.19721444e-01 8.75781539e-01 -8.54792919e-02 8.89216453e-01 -4.49430073e-01 -9.67394793e-01 -1.82011014e-01 -1.76122986e-01,-1.90558109e+00 4.04037433e-01 2.79782518e+00
30060098_13881136865,7.32824585e+02 0.00000000e+00 5.22500000e+02 0.00000000e+00 7.32824585e+02 3.88000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,-9.96559470e-01 8.04252780e-02 2.00248953e-02 5.77260381e-02 8.46905454e-01 -5.28600847e-01 -5.94720632e-02 -5.25626223e-01 -8.48634284e-01,2.44339019e+00 6.37977569e-01 5.30028060e+00
75670494_10532227934,1.06605945e+03 0.00000000e+00 5.22500000e+02 0.00000000e+00 1.06605945e+03 3.88000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.38845308e-01 9.15769678e-02 3.31938467e-01 7.03433765e-03 9.58684981e-01 -2.84382884e-01 -3.44267346e-01 2.69326503e-01 8.99412714e-01,4.00480136e+00 5.54871252e-01 3.45612423e+00
33680148_1033484404,8.63594238e+02 0.00000000e+00 5.34000000e+02 0.00000000e+00 8.63594238e+02 3.47000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,-8.75911512e-01 2.50249049e-01 4.12497803e-01 -3.18237794e-02 8.23139023e-01 -5.66947437e-01 -4.81421095e-01 -5.09723026e-01 -7.13033075e-01,-2.44800745e+00 -2.75625372e-02 -1.00089264e-01
33996128_10532176005,1.06690918e+03 0.00000000e+00 5.21500000e+02 0.00000000e+00 1.06690918e+03 3.87500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.98760996e-01 -2.40877532e-02 4.35459897e-02 2.36025882e-02 9.99653869e-01 1.16215338e-02 -4.38108537e-02 -1.05793366e-02 9.98983827e-01,2.64547716e+00 2.14061506e+00 4.57758261e+00
75963148_11531980813,7.89976746e+02 0.00000000e+00 5.31000000e+02 0.00000000e+00 7.89976746e+02 3.45000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,2.06386128e-01 3.63643242e-01 9.08387780e-01 -2.99543810e-01 9.07283388e-01 -2.95144642e-01 -9.31492497e-01 -2.11188177e-01 2.96177788e-01,-2.44104284e+00 9.72650356e-01 2.85585155e+00
77082765_2334078741,1.10738708e+03 0.00000000e+00 3.90000000e+02 0.00000000e+00 1.10738708e+03 5.27500000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,9.85563989e-01 -1.40216725e-01 -9.48835831e-02 1.19425095e-01 9.73016919e-01 -1.97422697e-01 1.20005296e-01 1.83241220e-01 9.75715832e-01,2.46521365e+00 1.34713669e+00 4.53900624e+00
80238669_11531890454,1.38866797e+03 0.00000000e+00 5.13000000e+02 0.00000000e+00 1.38866797e+03 3.40000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,-5.66795335e-01 3.63688902e-01 7.39238413e-01 -1.07460302e-01 8.56986084e-01 -5.04011046e-01 -8.16820257e-01 -3.65109893e-01 -4.46653595e-01,5.20469035e-01 6.89872613e-01 3.85834696e+00
32610159_13881489624,7.31906616e+02 0.00000000e+00 5.25000000e+02 0.00000000e+00 7.31906616e+02 3.89000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00,-6.31903152e-01 3.51695507e-01 6.90658147e-01 1.24880717e-01 9.25675308e-01 -3.57113471e-01 -7.64920396e-01 -1.39411243e-01 -6.28857132e-01,-4.88766721e-01 -4.69536994e-01 4.44466951e+00
70699652_8066487031,6.57862427e+02 0.00000000e+00 1.02000000e+02 0.00000000e+00 6.57862427e+02 5.70000000e+01 0.00000000e+00 0.00000000e+00 1.00000000e+00,-5.46060993e-01 3.66046258e-01 7.53543316e-01 -3.13978940e-03 8.98589070e-01 -4.38779929e-01 -8.37739538e-01 -2.41966571e-01 -4.89535132e-01,-4.34511136e-02 9.70708278e-02 -1.12232225e+00
