pair,covisibility,fundamental_matrix
77151900_277624143-62920559_282422375,0.911,-2.07246514e-03 -6.25237083e-01 7.12670586e+02 6.17643384e-01 -2.55422759e-02 -8.98330757e+02 -6.83500499e+02 8.94711363e+02 1.08186843e+04
69868392_3604404326-64223960_5316591967,0.906,-7.24393910e-02 -1.19890377e+00 8.25321384e+02 9.84271400e-01 -3.80575910e-02 1.12084165e+03 -7.27670681e+02 -1.06950608e+03 5.62248640e+02
69868392_3604404326-27632173_1671275972,0.902,-5.82755168e-02 -1.46026550e+00 1.37370704e+03 1.28163317e+00 4.40416572e-02 7.06377025e+02 -1.28893133e+03 -6.98068035e+02 -8.01327113e+04
64223960_5316591967-27632173_1671275972,0.905,1.62193053e-02 -3.09526365e-01 5.90045379e+02 3.12819483e-01 1.90846994e-02 -4.74568069e+02 -6.35764133e+02 4.33930267e+02 2.87755206e+04
56240925_168522816-11122557_224876196,0.922,-1.03570964e+00 -1.12726998e+00 1.34188267e+03 9.88565399e-01 -1.03702892e+00 -7.83251506e+02 2.43464570e+02 1.80177968e+03 -6.77308997e+05
56240925_168522816-27210738_2045590131,0.943,9.44486848e-02 1.49997481e-01 -5.48535934e+02 -1.36652315e-01 1.23736024e-01 8.10640415e+02 -6.37974588e+01 -1.02555189e+03 3.24423833e+05
56240925_168522816-35298921_404896411,0.939,1.51580049e-01 2.32109566e-01 -6.37751911e+02 -2.61507466e-01 1.94330765e-01 -6.70585043e+02 8.38732859e+02 4.25971285e+01 1.68219061e+05
91526402_8673579252-56240925_168522816,0.911,-1.07347049e+00 1.36779996e+00 -5.12787714e+02 -1.39007651e+00 -1.09633344e+00 1.39358733e+03 1.48695123e+03 -1.81658799e+02 -5.18857095e+05
99765221_4300410235-77972670_214814210,0.93,-1.21458598e+00 1.06440223e+00 -3.26129036e+03 -7.40051076e-01 -4.58900579e-01 -1.18736749e+02 3.18060534e+03 2.66056607e+03 -6.50918134e+05
77972670_214814210-69759293_4547275305,0.925,4.42774049e-01 3.71191240e-01 -8.52749292e+02 -5.63701020e-01 6.13465808e-01 1.95252061e+03 -8.40134009e+02 -2.04149535e+03 5.50689941e+05
77972670_214814210-27632173_1671275972,0.902,-8.65108284e-01 -4.42682970e-01 1.90668519e+03 -4.66510960e-01 9.68588598e-01 5.82459561e+03 -3.72765979e+03 -3.98786647e+03 -4.93261177e+04
77972670_214814210-11122557_224876196,0.933,-4.03648512e-01 -2.47045789e-01 8.98679479e+02 9.83811809e-02 -3.68224142e-02 2.58250154e+03 -2.30957669e+03 -1.23784228e+03 6.95250476e+04
77972670_214814210-35298921_404896411,0.926,9.00736203e-01 1.01979744e+00 -7.84968264e+02 -1.47490916e+00 1.37881974e+00 2.97690551e+03 -1.64358203e+03 -3.23673518e+03 6.68921755e+05
77972670_214814210-63287152_2719505336,0.926,3.08888634e-01 8.39729672e-01 4.05939615e+02 -1.18937373e+00 1.48311397e+00 4.00767077e+03 -2.53499366e+03 -3.60322741e+03 5.52384213e+05
27210738_2045590131-11122557_224876196,0.95,-2.15258307e-01 -1.73662936e+00 1.77620475e+03 1.54258335e+00 -3.21018193e-01 -1.97571995e+03 -1.28100308e+03 2.45097389e+03 -1.99234018e+05
98653115_457567968-78782709_457568230,0.883,5.77542862e-05 -7.26766266e-03 8.98045471e+00 7.41252857e-03 -2.13627989e-05 1.11701048e-03 -8.79818956e+00 2.69556722e-02 -3.30222065e+00
98653115_457567968-70340840_5145139104,0.82,-5.01311115e-02 -5.47736670e-01 8.54740526e+02 5.18611961e-01 6.54258927e-02 3.45294889e+01 -7.53026011e+02 -6.91241566e+01 -9.11449919e+04
98653115_457567968-68153082_7213226096,0.805,-9.64749836e-03 -4.39815445e-02 1.61129177e+02 7.06754774e-02 -1.51704095e-02 -1.50553194e+02 -1.63761112e+02 1.55836886e+02 -1.95569955e+04
98653115_457567968-05907640_5576489463,0.811,-3.51536003e-02 -5.27386309e-01 8.85141582e+02 4.79369350e-01 2.39405834e-02 1.28974345e+02 -7.92839070e+02 -1.15549266e+02 -8.40440797e+04
78782709_457568230-63135281_5801848783,0.802,-2.84393059e-01 -6.07585582e-01 2.97931062e+02 4.83936399e-01 -7.96908448e-02 7.46743559e+02 -3.63721518e+02 -5.68622729e+02 1.46363585e+05
78782709_457568230-05907640_5576489463,0.821,-4.21265042e-02 -5.03641307e-01 8.08085693e+02 4.41778276e-01 2.14328047e-02 1.18836275e+02 -7.35031959e+02 -1.10305929e+02 -7.57773251e+04
77637372_464905579-26362358_4619718880,0.802,8.04234924e-02 1.11178058e+00 -2.14719781e+03 -1.15836874e+00 -6.86838399e-02 1.33051727e+03 2.23073938e+03 -1.32696373e+03 1.46353388e+05
77637372_464905579-56240925_168522816,0.831,-1.32822715e-01 1.23911832e-01 3.08193787e+02 -1.34360893e-01 -9.45812968e-02 2.81181608e+02 -2.32720158e+01 -3.78762400e+02 -1.68730289e+03
77637372_464905579-11122557_224876196,0.844,-6.93275020e-02 -1.26239166e+00 1.17608373e+03 1.27730587e+00 -1.19539008e-01 -8.34933810e+02 -1.04027439e+03 1.01214056e+03 -1.35219452e+05
77637372_464905579-27210738_2045590131,0.852,-1.98669063e-02 3.20701523e-01 -3.89591537e+02 -4.35390320e-01 2.59287633e-02 1.21452200e+03 5.70490456e+02 -1.23308352e+03 7.86792220e+04
77151900_277624143-49331387_5131734970,0.832,-3.71695503e-02 -7.62924794e-01 1.06071514e+03 7.38184025e-01 -1.92706895e-02 1.53693963e+02 -1.02237827e+03 -8.28141602e+01 -5.97025396e+04
70340840_5145139104-69759293_4547275305,0.814,-1.03190346e-01 -6.26141146e-01 -1.13702035e+01 5.40968417e-01 1.61292299e-01 -1.29426661e+03 2.13918991e+02 1.32837760e+03 3.67376451e+04
70340840_5145139104-68153082_7213226096,0.811,-5.57529298e-03 4.74991790e-01 -6.12717866e+02 -5.52429990e-01 1.18296079e-02 -1.53198820e+02 6.60941396e+02 1.82061802e+02 -6.92422996e+04
70340840_5145139104-42578175_457568876,0.863,8.29319066e-03 1.89153668e-01 -3.44645244e+02 -1.50650555e-01 1.68639332e-02 1.66276481e+00 3.32294887e+02 -4.90856411e+01 1.78818244e+04
70340840_5145139104-05907640_5576489463,0.817,3.83198882e-03 1.91084328e-02 2.12243790e+01 -1.87257752e-02 -6.90322823e-04 3.47667294e+01 -2.32858352e+01 -3.06017377e+01 -1.20658433e+03
70340840_5145139104-49809790_3475639998,0.837,-1.69744354e-01 -6.79409908e-01 -1.81340708e+02 4.86525682e-01 2.90735399e-01 -1.88417701e+03 5.96384831e+02 1.95324207e+03 7.60628113e+03
69868392_3604404326-69759293_4547275305,0.839,-9.87689826e-02 -9.23661728e-01 3.22239941e+02 8.07239792e-01 -3.05778893e-02 -1.65916304e+03 -5.23539638e+01 1.81936155e+03 -1.26051637e+05
69868392_3604404326-64212638_4064879957,0.868,6.13448364e-03 8.15497987e-02 -2.24313929e+02 -7.09248019e-02 1.23903332e-02 -1.95491468e+02 2.09493848e+02 1.56290580e+02 1.42728912e+04
69759293_4547275305-64223960_5316591967,0.837,-8.71850521e-02 -6.94764331e-01 9.58952495e+02 -8.23747403e-02 1.07253229e-01 3.60090320e+03 -3.05245021e+02 -3.43032976e+03 -1.63869243e+05
69759293_4547275305-64212638_4064879957,0.871,-6.28570503e-02 1.19751474e+00 -4.63822416e+02 -1.37195060e+00 -7.04058195e-02 2.33444390e+03 6.77527719e+02 -1.89336932e+03 -2.36299317e+05
69759293_4547275305-27632173_1671275972,0.817,-1.55921891e-01 -9.98952804e-01 1.78709899e+03 2.95383473e-01 1.83338988e-01 3.06797908e+03 -9.33075583e+02 -3.04959377e+03 -3.63014321e+05
